DatePaid;TrackingNumber;Location;LocationName;OSS360_PaymentType;BankName;Montant Total
21/09/2020;L03_02_20200921_42058;L03;Agence des Arcades;Chèque BGFI         ;BGFI BANK;218010
21/09/2020;L03_02_20200921_42058;L03;Agence des Arcades;Chèque BICIG        ;BGFI BANK;238504
21/09/2020;L03_02_20200921_42058;L03;Agence des Arcades;Chèque ECOBANK      ;BGFI BANK;1357507
21/09/2020;L03_02_20200921_42058;L03;Agence des Arcades;Chèque UGB          ;BGFI BANK;190277
22/09/2020;L03_02_20200922_42093;L03;Agence des Arcades;Chèque BGFI         ;UBA BANK;95299
22/09/2020;L03_02_20200922_42093;L03;Agence des Arcades;Chèque UGB          ;UBA BANK;473257
23/09/2020;L03_02_20200923_42139;L03;Agence des Arcades;Chèque BGFI         ;BGFI BANK;177420
23/09/2020;L03_02_20200923_42139;L03;Agence des Arcades;Chèque ECOBANK      ;BGFI BANK;35297
24/09/2020;L03_02_20200924_42191;L03;Agence des Arcades;Chèque BGFI         ;UBA BANK;47600
24/09/2020;L03_02_20200924_42191;L03;Agence des Arcades;Chèque BICIG        ;UBA BANK;130255
24/09/2020;L03_02_20200924_42191;L03;Agence des Arcades;Chèque ECOBANK      ;UBA BANK;44030
24/09/2020;L03_02_20200924_42191;L03;Agence des Arcades;Chèque UGB          ;UBA BANK;45381
25/09/2020;L03_02_20200925_42232;L03;Agence des Arcades;Chèque BGFI         ;UBA BANK;74284
25/09/2020;L03_02_20200925_42232;L03;Agence des Arcades;Chèque BICIG        ;UBA BANK;142200
25/09/2020;L03_02_20200925_42232;L03;Agence des Arcades;Chèque CITIGROUP    ;UBA BANK;480807
25/09/2020;L03_02_20200925_42232;L03;Agence des Arcades;Chèque UGB          ;UBA BANK;34458
28/09/2020;L03_02_20200928_42285;L03;Agence des Arcades;Chèque BICIG        ;BGFI BANK;91760
28/09/2020;L03_02_20200928_42285;L03;Agence des Arcades;Chèque UGB          ;BGFI BANK;340352
29/09/2020;L03_02_20200929_42319;L03;Agence des Arcades;Chèque BICIG        ;UBA BANK;90762
29/09/2020;L03_02_20200929_42319;L03;Agence des Arcades;Chèque ORABANK      ;UBA BANK;212368
30/09/2020;L03_02_20200930_42374;L03;Agence des Arcades;Chèque BGFI         ;BGFI BANK;45381
30/09/2020;L03_02_20200930_42374;L03;Agence des Arcades;Chèque UBA          ;BGFI BANK;91266
30/09/2020;L03_02_20200930_42374;L03;Agence des Arcades;Chèque UGB          ;BGFI BANK;274981
01/10/2020;L03_02_20201001_42419;L03;Agence des Arcades;Chèque BICIG        ;UBA BANK;25213
01/10/2020;L03_02_20201001_42419;L03;Agence des Arcades;Chèque ORABANK      ;UBA BANK;96591
02/10/2020;L03_02_20201002_42467;L03;Agence des Arcades;Chèque BICIG        ;UBA BANK;69243
02/10/2020;L03_02_20201002_42467;L03;Agence des Arcades;Chèque ECOBANK      ;UBA BANK;36000
02/10/2020;L03_02_20201002_42467;L03;Agence des Arcades;Chèque UBA          ;UBA BANK;479430
05/10/2020;L03_02_20201005_42520;L03;Agence des Arcades;Chèque BGFI         ;BGFI BANK;485769
05/10/2020;L03_02_20201005_42520;L03;Agence des Arcades;Chèque BICIG        ;BGFI BANK;257173
06/10/2020;L03_02_20201006_42575;L03;Agence des Arcades;Chèque BGFI         ;UBA BANK;55000
06/10/2020;L03_02_20201006_42575;L03;Agence des Arcades;Chèque BICIG        ;UBA BANK;94823
06/10/2020;L03_02_20201006_42575;L03;Agence des Arcades;Chèque ORABANK      ;UBA BANK;35297
07/10/2020;L03_02_20201007_42613;L03;Agence des Arcades;Chèque ORABANK      ;BGFI BANK;340604
07/10/2020;L03_02_20201007_42613;L03;Agence des Arcades;Chèque UGB          ;BGFI BANK;1527666
08/10/2020;L03_02_20201008_42656;L03;Agence des Arcades;Chèque BGFI         ;UBA BANK;2305299
08/10/2020;L03_02_20201008_42656;L03;Agence des Arcades;Chèque BICIG        ;UBA BANK;272398
08/10/2020;L03_02_20201008_42656;L03;Agence des Arcades;Chèque UGB          ;UBA BANK;324058
09/10/2020;L03_02_20201009_42689;L03;Agence des Arcades;Chèque BGFI         ;UBA BANK;190516
