30/09/2020|L12_02_20200930_42380|L12|Agence Port-Gentil|3181025                                 |Chèque ECOBANK      |BGFI BANK|282070
30/09/2020|L12_02_20200930_42380|L12|Agence Port-Gentil|3181481                                 |Chèque ORABANK      |BGFI BANK|33954
30/09/2020|L12_02_20200930_42380|L12|Agence Port-Gentil|3196192                                 |Chèque ORABANK      |BGFI BANK|471718
30/09/2020|L12_02_20200930_42380|L12|Agence Port-Gentil|3451684                                 |Chèque ORABANK      |BGFI BANK|101735
30/09/2020|L12_02_20200930_42380|L12|Agence Port-Gentil|6574039                                 |Chèque BICIG        |BGFI BANK|272286
30/09/2020|L12_02_20200930_42380|L12|Agence Port-Gentil|7034886                                 |Chèque BICIG        |BGFI BANK|29407
30/09/2020|L12_02_20200930_42380|L12|Agence Port-Gentil|7226039                                 |Chèque BGFI         |BGFI BANK|298240
30/09/2020|L13_01_20200930_42354|L13|Agence Koulamoutou|                                        |Espèces|ORABANK Recettes|527932
30/09/2020|L14_01_20200930_42341|L14|Agence Oyem|                                        |Espèces|UGB BANK|50500
30/09/2020|L14_01_20200930_42344|L14|Agence Oyem|                                        |Espèces|UGB BANK|3402000
30/09/2020|L15_01_20200930_42364|L15|Agence Lambaréné|                                        |Espèces|   BGFI BANK                            |150189
30/09/2020|L16_01_20200930_42382|L16|Agence Mouila|                                        |Espèces|BICIG BANK|3862944
30/09/2020|L17_01_20200930_42361|L17|Agence Moanda|                                        |Espèces|   BGFI BANK                            |916843
30/09/2020|L22_01_20200930_42367|L22|Agence Mbolo|                                        |Espèces|ORABANK Recettes|5301530
30/09/2020|L22_02_20200930_42356|L22|Agence Mbolo|3148013                                 |Chèque ECOBANK      |ORABANK Recettes|60187
30/09/2020|L22_02_20200930_42356|L22|Agence Mbolo|6103705                                 |Chèque BICIG        |ORABANK Recettes|45362
30/09/2020|L22_02_20200930_42356|L22|Agence Mbolo|6673870                                 |Chèque BGFI         |ORABANK Recettes|45381
30/09/2020|L22_02_20200930_42356|L22|Agence Mbolo|6818165                                 |Chèque BGFI         |ORABANK Recettes|63231
30/09/2020|L22_02_20200930_42356|L22|Agence Mbolo|6965633                                 |Chèque BICIG        |ORABANK Recettes|150000
30/09/2020|L22_02_20200930_42356|L22|Agence Mbolo|7157470                                 |Chèque BGFI         |ORABANK Recettes|791573
30/09/2020|L22_02_20200930_42356|L22|Agence Mbolo|7184869                                 |Chèque BGFI         |ORABANK Recettes|60508
30/09/2020|L22_02_20200930_42356|L22|Agence Mbolo|N° 7128402                              |Chèque BICIG        |ORABANK Recettes|14280
30/09/2020|L22_02_20200930_42356|L22|Agence Mbolo|N°7117682                               |Chèque BGFI         |ORABANK Recettes|233563
30/09/2020|L22_02_20200930_42356|L22|Agence Mbolo|N°7128402                               |Chèque BICIG        |ORABANK Recettes|14280
30/09/2020|L25_01_20200930_42366|L25|Agence AVORBAM|                                        |Espèces|BGFI BANK|2390405
30/09/2020|L25_02_20200930_42348|L25|Agence AVORBAM|7233579                                 |Chèque BGFI         |BGFI BANK|35297
30/09/2020|L29_01_20200930_42376|L29|Agence FTTH|                                        |Espèces|UBA BANK|3619126
30/09/2020|L29_02_20200930_42377|L29|Agence FTTH|5545599                                 |Chèque BICIG        |UBA BANK|90562
30/09/2020|L29_02_20200930_42377|L29|Agence FTTH|9890949                                 |Chèque UGB          |UBA BANK|187437
30/09/2020|L32_01_20201001_42386|L32|DCM - distribution|                                        |Espèces|CITIBANK|10550
30/09/2020|L32_04_20201001_42384|L32|DCM - distribution|013323                                  |Orabank Virement                        |ORABANK|410380000
30/09/2020|L32_02_20201001_42385|L32|DCM - distribution|5877212                                 |Chèque UGB          |UGB BANK|22000000
30/09/2020|L32_02_20201001_42385|L32|DCM - distribution|6929431                                 |Chèque BICIG        |UGB BANK|59000000
30/09/2020|L32_04_20200930_42350|L32|DCM - distribution|881200                                  |BGFI  Virement      |BGFI BANK|5008500
30/09/2020|L32_04_20200930_42350|L32|DCM - distribution|881998                                  |BGFI  Virement      |BGFI BANK|7881300
30/09/2020|L39_01_20200930_42339|L39|Agence Makokou|                                        |Espèces|ORABANK Recettes|14156100
30/09/2020|L39_01_20200930_42340|L39|Agence Makokou|                                        |Espèces|ORABANK Recettes|130500
30/09/2020|L40_01_20200930_42359|L40|Agence Gamba|                                        |Espèces|BICIG BANK|6500
30/09/2020|L40_01_20200930_42370|L40|Agence Gamba|                                        |Espèces|BICIG BANK|226500
30/09/2020|L79_01_20200930_42345|L79|Agence Tchibanga|                                        |Espèces|ORABANK Recettes|340200
30/09/2020|L79_01_20200930_42346|L79|Agence Tchibanga|                                        |Espèces|ORABANK Recettes|251824
30/09/2020|L80_01_20200930_42342|L80|Agence Bitam|                                        |Espèces|UGB BANK|52000
30/09/2020|L80_01_20200930_42343|L80|Agence Bitam|                                        |Espèces|UGB BANK|94500
30/09/2020|L86_01_20200930_42381|L86|Agence Mont-Bouet|                                        |Espèces|UBA BANK|28350
30/09/2020|L86_01_20200930_42383|L86|Agence Mont-Bouet|                                        |Espèces|UBA BANK|161121
30/09/2020|L87_01_20200930_42379|L87|Agence PK8|                                        |Espèces|UBA BANK|1085775
30/09/2020|M02_01_20200930_42355|M02|Agence Awendje|                                        |Espèces|UBA BANK|85050
30/09/2020|M02_01_20200930_42360|M02|Agence Awendje|                                        |Espèces|UBA BANK|1172231
30/09/2020|M02_02_20200930_42353|M02|Agence Awendje|7301353                                 |Chèque BGFI         |UBA BANK|461075
